Majority protein IDs,Gene names,Intensity 1_10_0_1,Intensity 2_10_0_2,Intensity 3_10_0_3,Intensity 4_10_001_1,Intensity 5_10_001_2,Intensity 6_10_001_3,Intensity 7_10_01_1,Intensity 8_10_01_2,Intensity 9_10_01_3,Intensity 10_10_1_1,Intensity 11_10_1_2,Intensity 12_10_1_3,Intensity 13_10_10_1,Intensity 14_10_10_2,Intensity 15_10_10_3,Intensity 16_10_100_1,Intensity 17_10_100_2,Intensity 18_10_100_3,Intensity 19_10_1000_1,Intensity 20_10_1000_2,Intensity 21_10_1000_3,Intensity 22_24_0_1,Intensity 23_24_0_2,Intensity 24_24_0_3,Intensity 25_24_001_1,Intensity 26_24_001_2,Intensity 27_24_001_3,Intensity 28_24_01_1,Intensity 29_24_01_2,Intensity 30_24_01_3,Intensity 31_24_1_1,Intensity 32_24_1_2,Intensity 33_24_1_3,Intensity 34_24_10_1,Intensity 35_24_10_2,Intensity 36_24_10_3,Intensity 37_24_100_1,Intensity 38_24_100_2,Intensity 39_24_100_3,Intensity 40_24_1000_1,Intensity 41_24_1000_2,Intensity 42_24_1000_3
A0AV96,RBM47,55485000,54951000,43245000,36009000,26326000,40571000,22963000,34660000,33878000,48395000,42875000,28867000,34002000,26315000,27291000,31738000,13263000,46094000,55868000,69269000,53874000,70763000,59448000,49419000,34817000,76080000,74175000,80881000,64851000,47030000,62383000,61188000,43409000,56209000,65231000,51560000,43251000,39173000,69948000,91637000,35880000,77938000
A0AVF1,TTC26,0,10861000,6593400,7914200,0,6442200,0,0,5249900,9739900,19352000,13499000,9428800,13727000,0,3858600,10450000,0,5501200,20278000,8487000,0,6485800,0,13018000,19545000,0,0,10239000,20912000,14178000,27696000,11004000,0,0,19167000,0,0,0,8587000,0,9152300
A0AVT1,UBA6,5094000000,4314100000,4450600000,3981000000,3728700000,4070400000,3852500000,4376500000,3934700000,3493200000,3173200000,3400400000,3056300000,2701800000,3299800000,3081100000,3058800000,5151200000,4508000000,4120600000,4840500000,4856000000,4733000000,4695500000,4619700000,4858600000,4858900000,4707700000,4519200000,4545100000,4402600000,4326700000,4781500000,3685100000,4443100000,5127000000,4912400000,5457900000,6133000000,6051900000,5126400000,5217800000
A0FGR8,ESYT2,2483000000,1744900000,1694900000,1434100000,1419500000,1697700000,1625000000,1478000000,1606200000,1365200000,1115200000,1238600000,1360700000,1396100000,1298400000,1216800000,1320000000,2254900000,2116700000,1423200000,2147000000,2353000000,2547000000,2420800000,2563800000,2324500000,2430100000,2565600000,2250800000,2194900000,1916000000,2785800000,2061000000,1143900000,2553800000,2207700000,1921400000,2453200000,3112700000,3086600000,2264500000,2985700000
A0JLT2,MED19,102710000,3587400000,3488800000,66195000,3629300000,3690600000,3174300000,2952700000,3319800000,35993000,2049300000,2408400000,2336100000,1955800000,2467300000,2650800000,1831700000,66724000,75413000,80039000,71901000,83178000,104980000,2900700000,34885000,810670000,35405000,39785000,158860000,38416000,48352000,94609000,97488000,77427000,82272000,53617000,2178300,80616000,91540000,182630000,46181000,92257000
A0JNW5,UHRF1BP1L,107310000,72360000,80503000,72932000,121990000,132060000,84599000,109630000,118470000,99787000,101670000,92566000,116980000,89554000,101640000,102600000,109930000,130880000,156280000,145060000,159430000,77535000,117750000,68697000,61691000,37114000,43813000,92820000,76691000,53603000,69107000,47356000,58338000,116810000,71988000,105830000,45211000,80521000,108220000,106240000,92909000,124930000
A0MZ66,KIAA1598,3691200000,2607000000,2776800000,2750800000,2306700000,2785200000,2683600000,2692200000,2508700000,2496400000,2148900000,2429100000,2127000000,2250300000,2194100000,2046000000,2139200000,3634500000,3335200000,2714100000,3106700000,3175000000,3572100000,3108900000,2822300000,3457000000,3529600000,3503600000,2417600000,2538500000,2527900000,3694400000,3445300000,1585900000,3315700000,3280900000,2697800000,3724800000,3768000000,4130400000,2605400000,3894100000
A0PJW6,TMEM223,85504000,82545000,63200000,81012000,32188000,35065000,39514000,39655000,78980000,37045000,34082000,39367000,43268000,65151000,44972000,37175000,31822000,88249000,54282000,44891000,85437000,102580000,105090000,110920000,78394000,103390000,71924000,59416000,98109000,63866000,83585000,106350000,82027000,95805000,90835000,121610000,79535000,60967000,146140000,57668000,88682000,87240000
A1KXE4,FAM168B,0,8648100,0,12610000,0,0,0,0,0,15673000,8933300,0,8653500,3621100,9537700,0,0,0,0,0,0,11049000,20151000,13870000,0,0,22512000,0,14623000,11432000,0,0,8730500,0,9608700,6361900,0,0,0,0,0,0
A1KZ92,PXDNL,115000000,72937000,5500400000,10892000000,845220000,7727700000,8081800000,466430000,602420000,17576000,4048100000,1266400000,24631000,4868800000,7960700000,39384000,5126200000,16605000000,90870000,1136900000,1962500000,17265000000,9360000000,17313000000,9130000000,0,11779000000,10009000000,15747000000,244740000,17124000000,3337400000,870270000,16580000000,20642000000,19707000000,1665100000,283830000,45262000,1281200000,12995000000,2433800000
